row_id,feature_name,shap_value,feature_value,timestamp,model_name,base_value
53,Avg Draft (Calculated),-1119.1953433904478,6.1,2024-11-09 07:30:00,GAM,4377.555389416918
54,Avg Draft (Calculated),829.3656301938192,14.2,2024-08-23 03:15:00,GAM,4377.555389416918
55,Avg Draft (Calculated),255.46276637295787,11.615,2024-02-29 22:45:00,GAM,4377.555389416918
56,Avg Draft (Calculated),-173.88836401081338,9.945,2024-12-16 01:30:00,GAM,4377.555389416918
57,Avg Draft (Calculated),1810.30149359612,14.7,2024-09-18 22:45:00,GAM,4377.555389416918
58,Avg Draft (Calculated),-803.1928032450695,6.42,2024-04-24 16:30:00,GAM,4377.555389416918
59,Avg Draft (Calculated),255.46276637295838,11.615,2024-02-24 23:15:00,GAM,4377.555389416918
60,Avg Draft (Calculated),1810.301493596121,14.7,2024-09-14 11:00:00,GAM,4377.555389416918
61,Avg Draft (Calculated),-803.1928032450687,6.42,2024-04-27 12:45:00,GAM,4377.555389416918
62,Avg Draft (Calculated),-573.2794195096152,6.75,2024-07-16 23:30:00,GAM,4377.555389416918
63,Avg Draft (Calculated),-573.279419509615,6.75,2024-07-18 08:00:00,GAM,4377.555389416918
64,Avg Draft (Calculated),-1070.2460780104323,6.145,2024-04-03 06:15:00,GAM,4377.555389416918
65,Avg Draft (Calculated),897.7604686355193,14.25,2024-08-04 14:45:00,GAM,4377.555389416918
66,Avg Draft (Calculated),255.4627663729578,11.615,2024-03-17 21:45:00,GAM,4377.555389416918
67,Avg Draft (Calculated),897.7604686355191,14.25,2024-08-08 08:30:00,GAM,4377.555389416918
68,Avg Draft (Calculated),-173.88836401081414,9.945,2024-12-25 00:15:00,GAM,4377.555389416918
69,Avg Draft (Calculated),-173.88836401081454,9.945,2024-12-17 16:45:00,GAM,4377.555389416918
70,Avg Draft (Calculated),829.3656301938187,14.2,2024-08-22 22:45:00,GAM,4377.555389416918
71,Avg Draft (Calculated),255.46276637295793,11.615,2024-03-17 20:15:00,GAM,4377.555389416918
72,Avg Draft (Calculated),255.46276637295782,11.615,2024-02-17 09:15:00,GAM,4377.555389416918
73,Avg Draft (Calculated),255.4627663729586,11.615,2024-03-01 06:00:00,GAM,4377.555389416918
74,Avg Draft (Calculated),829.3656301938207,14.2,2024-08-15 18:00:00,GAM,4377.555389416918
75,Avg Draft (Calculated),-573.2794195096151,6.75,2024-07-17 19:00:00,GAM,4377.555389416918
76,Avg Draft (Calculated),-1070.2460780104325,6.145,2024-04-02 12:15:00,GAM,4377.555389416918
77,Avg Draft (Calculated),897.760468635519,14.25,2024-08-06 22:30:00,GAM,4377.555389416918
78,Avg Draft (Calculated),-173.88836401081429,9.945,2024-12-17 15:00:00,GAM,4377.555389416918
79,Avg Draft (Calculated),255.4627663729583,11.615,2024-02-20 16:15:00,GAM,4377.555389416918
80,Avg Draft (Calculated),1810.3014935961223,14.7,2024-09-19 23:30:00,GAM,4377.555389416918
81,Avg Draft (Calculated),-1119.1953433904475,6.1,2024-11-11 06:00:00,GAM,4377.555389416918
82,Avg Draft (Calculated),829.3656301938186,14.2,2024-08-19 12:30:00,GAM,4377.555389416918
83,Avg Draft (Calculated),1810.3014935961203,14.7,2024-09-17 09:00:00,GAM,4377.555389416918
84,Avg Draft (Calculated),-1119.1953433904484,6.1,2024-11-13 04:45:00,GAM,4377.555389416918
85,Avg Draft (Calculated),-1102.7426404067326,6.115,2024-05-11 13:15:00,GAM,4377.555389416918
86,Avg Draft (Calculated),-1070.2460780104334,6.145,2024-04-15 05:00:00,GAM,4377.555389416918
87,Avg Draft (Calculated),1810.3014935961194,14.7,2024-09-14 10:00:00,GAM,4377.555389416918
88,Avg Draft (Calculated),-803.1928032450692,6.42,2024-05-08 14:30:00,GAM,4377.555389416918
89,Avg Draft (Calculated),-173.88836401081346,9.945,2024-12-26 19:15:00,GAM,4377.555389416918
90,Avg Draft (Calculated),255.46276637295858,11.615,2024-02-28 15:45:00,GAM,4377.555389416918
91,Avg Draft (Calculated),-573.2794195096153,6.75,2024-07-20 22:15:00,GAM,4377.555389416918
92,Avg Draft (Calculated),255.46276637295838,11.615,2024-03-15 00:15:00,GAM,4377.555389416918
93,Avg Draft (Calculated),-803.1928032450695,6.42,2024-04-26 14:00:00,GAM,4377.555389416918
94,Avg Draft (Calculated),829.3656301938189,14.2,2024-08-20 10:00:00,GAM,4377.555389416918
95,Avg Draft (Calculated),1810.30149359612,14.7,2024-09-14 14:30:00,GAM,4377.555389416918
96,Avg Draft (Calculated),-173.8883640108147,9.945,2024-11-30 23:30:00,GAM,4377.555389416918
97,Avg Draft (Calculated),-803.1928032450679,6.42,2024-04-28 19:00:00,GAM,4377.555389416918
98,Avg Draft (Calculated),-803.1928032450696,6.42,2024-05-05 15:45:00,GAM,4377.555389416918
99,Avg Draft (Calculated),-573.2794195096161,6.75,2024-07-16 12:00:00,GAM,4377.555389416918
100,Avg Draft (Calculated),-573.2794195096158,6.75,2024-07-23 00:30:00,GAM,4377.555389416918
101,Avg Draft (Calculated),-173.88836401081355,9.945,2024-12-22 13:15:00,GAM,4377.555389416918
102,Avg Draft (Calculated),231.55557450002888,11.47,2024-03-26 15:00:00,GAM,4377.555389416918
103,Avg Draft (Calculated),897.7604686355189,14.25,2024-08-08 16:15:00,GAM,4377.555389416918
104,Avg Draft (Calculated),829.3656301938187,14.2,2024-08-14 09:30:00,GAM,4377.555389416918
105,Avg Draft (Calculated),255.46276637295804,11.615,2024-02-26 12:00:00,GAM,4377.555389416918
106,Avg Draft (Calculated),255.4627663729585,11.615,2024-02-28 09:30:00,GAM,4377.555389416918
107,Avg Draft (Calculated),284.05674536079795,11.84,2024-02-09 05:45:00,GAM,4377.555389416918
108,Avg Draft (Calculated),897.7604686355194,14.25,2024-08-04 02:30:00,GAM,4377.555389416918
109,Avg Draft (Calculated),-573.2794195096159,6.75,2024-07-20 09:00:00,GAM,4377.555389416918
110,Avg Draft (Calculated),255.46276637295793,11.615,2024-03-01 09:30:00,GAM,4377.555389416918
111,Avg Draft (Calculated),1810.3014935961214,14.7,2024-09-19 01:00:00,GAM,4377.555389416918
112,Avg Draft (Calculated),897.7604686355194,14.25,2024-08-04 01:45:00,GAM,4377.555389416918
113,Avg Draft (Calculated),-173.8883640108137,9.945,2024-12-22 01:45:00,GAM,4377.555389416918
114,Avg Draft (Calculated),284.05674536079766,11.84,2024-02-13 18:00:00,GAM,4377.555389416918
115,Avg Draft (Calculated),829.3656301938196,14.2,2024-08-17 03:45:00,GAM,4377.555389416918
116,Avg Draft (Calculated),-173.88836401081437,9.945,2024-12-01 21:30:00,GAM,4377.555389416918
117,Avg Draft (Calculated),231.555574500029,11.47,2024-03-27 03:00:00,GAM,4377.555389416918
118,Avg Draft (Calculated),-1119.195343390449,6.1,2024-10-23 08:00:00,GAM,4377.555389416918
119,Avg Draft (Calculated),255.4627663729585,11.615,2024-02-17 12:45:00,GAM,4377.555389416918
120,Avg Draft (Calculated),1810.3014935961198,14.7,2024-09-19 03:30:00,GAM,4377.555389416918
121,Avg Draft (Calculated),255.4627663729581,11.615,2024-02-23 13:30:00,GAM,4377.555389416918
122,Avg Draft (Calculated),-803.1928032450677,6.42,2024-04-28 09:30:00,GAM,4377.555389416918
123,Avg Draft (Calculated),-803.1928032450692,6.42,2024-04-28 04:30:00,GAM,4377.555389416918
124,Avg Draft (Calculated),-803.1928032450696,6.42,2024-04-26 23:15:00,GAM,4377.555389416918
125,Avg Draft (Calculated),1810.3014935961203,14.7,2024-09-18 01:00:00,GAM,4377.555389416918
126,Avg Draft (Calculated),829.3656301938187,14.2,2024-08-14 04:30:00,GAM,4377.555389416918
127,Avg Draft (Calculated),-1119.1953433904482,6.1,2024-11-13 15:00:00,GAM,4377.555389416918
128,Avg Draft (Calculated),-803.1928032450697,6.42,2024-05-06 15:00:00,GAM,4377.555389416918
129,Avg Draft (Calculated),-803.192803245068,6.42,2024-04-28 11:45:00,GAM,4377.555389416918
130,Avg Draft (Calculated),-1119.195343390448,6.1,2024-11-06 06:45:00,GAM,4377.555389416918
131,Avg Draft (Calculated),829.365630193819,14.2,2024-08-21 08:30:00,GAM,4377.555389416918
