timestamp,Avg Draft (Calculated),SOG - STW (calculated),cumulative_fouling_penalty_index (calculated),Vessel Hull Through Water Longitudinal Speed (knots),Day of Year,Vessel External Conditions Wave Period (Provider S),longitudinal_wave_force (calculated),longitudinal_wind_force (calculated)
2024-12-22 11:30:00,98.64097695599456,-2.199473132087927,-126.63692311273944,-749.6995491894385,-902.6722461705527,7.794250367179478,63.852360405146406,-16.17086334425696
2024-03-09 10:00:00,155.7217826880792,1.9609481930662371,116.92635988355704,386.135176420975,1161.988009543605,-11.38561903619127,-46.88030515983514,-32.25726494558972
2024-04-12 18:15:00,-383.1021299858602,5.762032625744603,-86.882551355301,-581.2076052653495,201.62671650260674,-3.4565424014319777,-96.68313778182225,-68.72929362516953
2024-08-05 02:15:00,-22.602053854868505,-1.6121554882304003,-56.46906711778985,643.0531281429479,-352.3072746150261,-17.26237745268533,-29.209298351924726,-26.53012739636114
2024-08-24 05:00:00,-75.23881981408577,-8.280471238531616,20.7027610953583,-693.7911608183325,-159.58254957150191,6.223610047930725,19.138986371897452,4.996803029336766
2024-04-28 22:15:00,-93.48779969111644,0.9072866464908924,120.52728458138807,751.6897946684782,575.3856140429782,38.60459186018111,39.83452728173368,129.03832797007442
2024-04-29 15:00:00,-33.8430267201862,12.837890090252303,307.61532895877787,-614.2661259578709,797.6952899163388,20.77956468156644,281.12014532484693,473.7887786557869
2024-08-24 07:30:00,-75.07687402526663,-8.308725799561751,26.442163801172388,-696.3646216647111,-164.4716775917787,5.181609870511863,24.142003652804284,10.513246712662589
2024-12-20 13:45:00,90.24368442537593,-0.7441955947969549,-111.27842074433012,-714.5465784310171,-881.3931886753709,14.464506227715685,31.09324228819651,30.62565196891249
2024-12-24 11:45:00,18.366322428841976,2.327363358531902,-135.49708155594325,-723.5734314654435,-911.9941535821445,-4.682336094471309,-10.288935020039316,-30.896010196720276
2024-09-14 02:00:00,297.9121443665636,-2.8263478252987406,257.839236752345,555.8297192963992,-146.45498892635752,-4.898639365214979,-10.036783450108754,6.224879044050367
2024-02-10 19:00:00,142.12840027656478,-3.3657809565751724,34.33015290009037,402.8188698334417,1161.582730637842,2.5076675636481602,33.73872055686556,31.54283824506877
2024-09-12 02:45:00,287.5322664239274,-5.590971462958367,214.23120117082232,527.7265578404556,-123.4974735146378,-33.806751333080356,-27.081254613586598,-22.45798515526669
2024-05-05 15:30:00,55.41105437548296,43.559568509392264,331.80791115279044,-901.6031268571629,686.3169485487005,23.548363653572665,138.90461857048638,74.79182842120464
2024-09-15 02:15:00,315.80454770227783,-30.284522121256614,276.75416714713185,580.9204265557801,-97.31958565864937,75.96466310484618,-13.558115923327343,13.862260108375963
