timestamp,Avg Draft (Calculated),SOG - STW (calculated),cumulative_fouling_penalty_index (calculated),Vessel Hull Through Water Longitudinal Speed (knots),Day of Year,Vessel External Conditions Wave Period (Provider S),longitudinal_wave_force (calculated),longitudinal_wind_force (calculated)
2024-12-22 11:30:00,-173.88836401081468,-23.592436535871908,3624.8022553972655,-997.3032190462733,-4624.713224067754,351.7873968836484,181.76895387363467,-18.09519197147597
2024-03-09 10:00:00,255.4627663729584,59.62054015686181,-553.0921415443374,688.9972381667237,1482.7781883938121,-188.22955968490675,-69.39276108202601,-210.99475765450754
2024-04-12 18:15:00,-1070.2460780104323,74.93521059618288,-534.7293192104496,-397.6943059466522,1313.5366416221084,27.890805135281312,-113.53739796422623,-111.54112634873808
2024-08-05 02:15:00,897.7604686355203,5.543299384030945,-553.0901569444396,82.25879136700365,-419.63199184489264,-210.87646095936896,-112.56382756531019,-98.98289615021747
2024-08-24 05:00:00,829.3656301938194,-147.0310917801115,-391.97508672037713,-585.3082587073767,-977.6347359492366,161.7555217294903,113.50914009276403,202.33449690208468
2024-04-28 22:15:00,-803.1928032450672,45.65375721518675,-435.59751219079095,325.5072730083073,1584.7889561332615,312.65773968723573,20.023593641771868,124.42755576857799
2024-04-29 15:00:00,-803.1928032450695,69.07433722320638,-432.1389993661404,-1184.4147173842155,1602.0524779570576,493.51705070357406,244.96065394620322,391.9149371403018
2024-08-24 07:30:00,829.3656301938189,-166.65784012679876,-391.5947074091949,-616.1527673216614,-977.6347359492371,140.32562651370944,116.50562546361493,235.3349342279274
2024-12-20 13:45:00,-173.88836401081332,29.70825003310665,3465.1598641305313,-1120.4439710399477,-4419.548048691142,473.69870646964745,153.50867003743377,186.26768695559537
2024-12-24 11:45:00,-173.88836401081394,59.97983395949905,3732.341533300502,-626.0805366979394,-4812.232426807487,-58.215964063062685,-46.481134884309256,-218.9719817480373
2024-09-14 02:00:00,1810.3014935961226,-24.114124462458392,-364.0057915904185,81.85055335406811,-1093.9719792640442,61.74861300140539,-50.12713784906372,26.881165312417462
2024-02-10 19:00:00,284.0567453607971,-84.87326850967338,-553.0920872272375,458.0788672603441,1069.2807036934573,142.2732338986915,73.14312730348057,174.96241349110647
2024-09-12 02:45:00,1810.3014935961212,-129.7308302111076,-364.01412523566535,871.000863920013,-1111.2561019601224,-209.30911128177976,-111.47875308523777,-92.68121952716228
