timestamp,Avg Draft (Calculated),SOG - STW (calculated),cumulative_fouling_penalty_index (calculated),Vessel Hull Through Water Longitudinal Speed (knots),Day of Year,Vessel External Conditions Wave Period (Provider S),longitudinal_wave_force (calculated),longitudinal_wind_force (calculated)
2024-12-22 11:30:00,-274.6851899257494,-43.677981199379914,1208.3577704863503,-1469.239746388437,-2091.582511589317,645.8243956148561,466.77220677961947,-18.79108005499461
2024-03-09 10:00:00,100.59029957357875,31.508584422000695,-600.2093781077502,856.2813383409673,1567.4104734013301,-193.81505778364834,-147.25473913974733,-39.03400237121791
2024-04-12 18:15:00,-808.3764450002154,22.757377743342598,-238.99357186334817,-628.9410693319129,827.5453955847553,15.762491910970994,-331.0723429978681,-63.532017472006316
2024-08-05 02:15:00,850.5033314173537,-31.97379830166272,-451.248281120805,79.83934305169089,-444.2343501474368,-104.28174531847534,-61.48801439925487,-42.25157161161016
2024-08-24 05:00:00,624.1447982817222,-136.8489258543503,-79.77128174094007,-683.0868930979184,-802.0761196213347,137.8251930640612,78.30531380724835,107.551434490749
2024-04-28 22:15:00,-355.46028408745866,16.782818136760213,-25.62231419384034,403.4053770441857,863.1053078770278,502.69463237644675,78.83183229363216,129.41408020515118
2024-04-29 15:00:00,-335.40284638649393,48.20148792194969,-27.156029798404234,-1487.1411649122779,798.1262180947929,756.0872447198927,910.2485723082591,231.26829552339734
2024-08-24 07:30:00,619.2083681420361,-132.66591843497721,-78.45056253622681,-774.292672336271,-803.0047322827146,121.81769387900343,83.94673688792444,118.4571303296286
2024-12-20 13:45:00,-254.9878911527675,-25.784984818946896,1266.2767393468969,-1570.7223717987129,-2010.548908735461,443.80702726284625,326.2324598019728,163.72875977658
2024-12-24 11:45:00,-299.00388963995636,-4.144973352121269,1400.6963808149703,-940.5884252354866,-1976.3741756358313,-42.2660016053619,-89.67012839294244,-144.18749750451508
2024-09-14 02:00:00,992.9009678761362,-77.37090065898738,176.4654452814236,96.47354550939716,-1001.91113205162,30.374122047496083,-98.10187123100532,28.610219641471787
2024-02-10 19:00:00,66.14890183342494,-82.00295505817078,-933.8621257158953,438.59057584022753,2131.0469084756287,132.51843966012024,48.42904496074572,6.64378265452001
2024-09-12 02:45:00,875.6862486654677,-184.5136871256487,88.15431289194397,1095.1550469238812,-897.5005620904151,-167.82477501858378,-122.43028106507734,-52.415776690649864
2024-05-05 15:30:00,-458.73161918067103,59.121570044811094,19.05191735122088,-957.1920316534976,695.2806677534132,345.9634461917517,529.2243200922047,141.9808646702746
2024-09-15 02:15:00,912.5519520837192,-96.62715099093508,199.4551934326328,484.2819131581544,-995.7624988975598,319.54970499927424,-58.67702299610403,59.82230293559586
2024-04-02 01:45:00,-572.2392423087261,106.99107376051576,-299.26587971896805,-711.5469281069408,1074.3854376329675,11.582717654864496,38.70935827337508,142.13599133164874
2024-12-27 03:45:00,-323.8181875382384,-14.590352121944761,1356.6924913849723,-783.2644762403397,-1991.2467601810092,-86.66372389040681,-135.7064070917613,-201.64634317719404
2024-03-12 02:45:00,66.28353547584767,-18.03831403121537,-600.0292936337751,866.833910308965,1525.1661292388385,-183.8942411397127,-134.07802235122676,-5.296230143180537
2024-03-17 07:45:00,78.07861563590554,-28.495916072756458,-630.7849421647164,486.7089593011266,1566.9991294847264,-13.520484376715913,40.72104887603368,5.710667483243242
2024-12-14 15:15:00,-347.80282712225727,64.0231008971315,1438.5265224931,-430.94265598189287,-2115.481315634949,-117.0903038763455,7.791118440425635,159.61688865976768
2024-10-26 01:45:00,-411.50852441732496,-44.05089714259536,227.3673538475263,-478.6577333666684,-1230.5208145255087,-164.39937140834033,145.97697816924514,62.48253430205568
2024-04-01 22:00:00,-572.5742895069221,108.09650806079749,-299.9289890403164,-723.6104231440335,1091.6590892227382,45.142632241468114,29.447664860396287,136.4498502197926
2024-05-11 08:45:00,-586.0017108002445,-2.0113120426901574,26.95555108039384,492.1704930277929,556.2346779291441,-183.95093775338339,-238.27686825575236,-80.68985693653937
2024-04-30 21:45:00,-555.1620252629111,19.708964295740884,-92.3105428397058,788.1960296848788,717.9339837243778,-68.73653202362203,-42.90535901612324,-147.7463676487688
2024-08-02 07:15:00,867.6557133241034,46.35982651981107,-435.3218920386394,5.512075136881948,-504.44494525981315,133.6385482223571,1.4250485869723732,-100.98987558601108
2024-02-28 08:00:00,68.34361504227294,-31.70244394202889,-725.7368370176818,944.4237891516618,1722.7046445768938,-213.44002239713032,-154.34549517296233,-5.746664592562865
2024-03-03 03:45:00,24.275661748047924,67.18884259007714,-711.801094668177,71.9611441201636,1769.4002301829446,210.47871068247278,458.1449413245916,30.555933176886434
2024-11-11 13:30:00,-371.60323151551785,7.116864618726595,313.3368572397627,-592.2815001597293,-1267.2619325296766,-90.19869873616453,-76.07563569451328,-71.30337773659133
2024-02-28 17:45:00,59.44243062295759,-33.023922382407335,-700.5056985468156,1005.8181425064985,1686.5399500935757,-236.9647842703329,-171.70377727127325,-17.74120164537362
2024-02-17 22:00:00,64.22302851779257,-82.35884710617971,-851.2644271797136,286.70443574082077,2069.0377743416625,160.62241742197773,5.031704021042799,-1.4554483901611093
