sea_water_temp,wave_period,long_wave_force,long_wind_force,long_swell_force,trans_swell_force,trans_wind_force,trans_wave_force,avg_draft,long_current,draft_trim,dsc,stw,shaft_power_kw
23.6027,4.6072,1.5584794005265534,7.0664370566464285,0.974049625329096,0.2263345475093185,0.1974970998626425,0.3621352760149096,14.2,-1.1677962962962989,1.0,25.010416666666668,10.637972222222222,3361.179382593042
26.5105,3.5602,0.885839911511317,7.617306915511017,0.6785156769022854,0.8402478659287588,3.2381338583987,1.0969902694069906,9.945,-0.4587222222222227,0.5899999999999999,137.33333333333334,11.12661111111111,2723.3759057644843
25.7112875,4.50985,1.7539844156660542,5.753090030322882,1.7321142857949066,1.7678815291034635,6.055209402083265,1.790203265582043,11.615,0.1900099206349192,0.8099999999999987,50.09375,12.399861111111113,4426.150386311112
23.1649,1.7952,2.193631383775229,4.348801049600062,1.5155998651537943,0.1155726989639016,2.521339707575597,0.1672762748161734,6.1,-0.0399365079365097,2.6000000000000005,87.46875,10.765666666666668,2513.04008860125
17.7383,5.1835,0.2782799340405506,2.441964792878772,0.1961873534985881,-1.3962845420354764,-6.5371993246604125,-1.9805454496957111,6.1,0.0003148148148159,2.6000000000000005,106.11458333333331,9.88375,2123.1166905883333
24.4177,2.2863,-1.2043911841036647,-3.054023467693964,-1.0323353006602842,1.4745452950013576,3.546776550443309,1.7203028441682504,14.7,-1.2853551587301553,1.5999999999999996,45.25,13.101694444444444,5100.150800498479
29.1444,4.8563,0.0001116264944785,0.3540914139637255,8.583232443967406e-05,1.929999998091402,8.407517143637422,2.5099999975178338,10.43,-0.2296335978835983,0.0,136.44791666666666,12.753041666666666,3951.2769376686506
25.2181,4.2905,-2.676640164382613,-6.706461259642849,-2.5902969332734966,1.5133941315711246,2.554128041604346,1.5638406026234954,6.42,-1.2994903636852797,2.24,91.51041666666669,13.459162814586543,3681.3968791198354
29.0776,4.8021,0.0838574245333495,0.8029919481167267,0.0673608820021988,1.9588421354401904,8.134358284539703,2.4385585767724822,10.43,-0.272092592592589,0.0,136.17708333333334,12.611833333333331,3926.295328612857
24.9482,5.4338,0.102301967537243,0.7067713250487218,0.0349840925256893,-0.659072160897541,-8.981763675030026,-1.927286773533718,6.1,-0.2390853174603187,2.6000000000000005,84.46875,11.02730753968254,2440.424926275556
27.4777,4.6815,0.0653976562398029,0.4387008448575953,0.0519739268011065,1.509105268340441,8.648077530221455,1.8988741787065144,9.945,-0.3553472222222247,0.5899999999999999,133.16666666666666,10.955347222222224,2615.031474006667
29.9123,1.9192,-1.278967259608618,1.93373390243189,-0.8658846664431017,0.6620753313775697,5.337598310531201,0.9779277830439332,14.7,-1.401054232804233,1.5999999999999996,50.59375,13.557256613756612,5013.800664030596
27.8618,4.7937,1.2451803103245735,2.9743330844374407,1.1953730979115906,2.0811254543609925,5.367727100255831,2.167839014959367,11.615,-0.4318849206349213,0.8099999999999987,53.26041666666666,12.585416666666667,4195.920299309206
28.2819,4.8891,0.7541740065447603,7.072379605210927,0.6239075872324834,0.6624494868242717,5.051531012455188,0.8007631159414275,11.47,-0.0874821428571444,0.3200000000000003,62.802083333333336,12.738315476190476,4182.599273503869
20.8345,4.0231,1.3829731268827707,10.082156144335771,0.9186892914292693,-0.1446028554807521,0.388958996852381,-0.2176817179280139,9.945,-0.9693888888888882,0.5899999999999999,124.45833333333331,9.94036111111111,2803.4453085867
