model,train_rmse,train_mape,train_mae,test_rmse,test_mape,test_mae
python_gam_baseline,NA,NA,NA,286.5,7.34,213.6
r_additive_gam,284.2760526424387,7.597244481482335,210.64297989929986,287.76947243653086,7.536146748634246,214.2162678823292
r_tensor_gam_ti_dsc_stw,238.31789709254974,6.244290481217741,172.44488078362258,235.53946796878242,6.022176426882489,171.70132276474
